country,cy,facility_id,admin1,admin1_name,ruralurban,publicprivate,gps_lat,gps_lon,map_id,admin2,admin3,admin2_name,admin3_name,admin4_name
KENYA,KEN_2018,1026,20,Kirinyaga,Urban,"NGO, non profit",-0.68537,37.35624,KEN_2018_1026,,,,,
KENYA,KEN_2018,1027,20,Kirinyaga,Rural,"Private, for profit",-0.49643,37.35227,KEN_2018_1027,,,,,
KENYA,KEN_2018,1028,20,Kirinyaga,Urban,"Private, for profit",-0.50517,37.28048,KEN_2018_1028,,,,,
KENYA,KEN_2018,1029,20,Kirinyaga,Urban,"Private, for profit",-0.50537,37.28035,KEN_2018_1029,,,,,
KENYA,KEN_2018,103,36,Bomet,Rural,Public,-0.56168,35.38235,KEN_2018_103,,,,,
KENYA,KEN_2018,1030,20,Kirinyaga,Urban,"Private, for profit",-0.68512,37.35629,KEN_2018_1030,,,,,
KENYA,KEN_2018,1031,20,Kirinyaga,Urban,"Private, for profit",-0.66715,37.2083,KEN_2018_1031,,,,,
KENYA,KEN_2018,1032,20,Kirinyaga,Urban,"Private, for profit",-0.50436,37.28032,KEN_2018_1032,,,,,
KENYA,KEN_2018,1033,20,Kirinyaga,Urban,"Private, for profit",-0.5015,37.27971,KEN_2018_1033,,,,,
KENYA,KEN_2018,1034,20,Kirinyaga,Urban,"Private, for profit",-0.50127,37.28059,KEN_2018_1034,,,,,
KENYA,KEN_2018,1035,20,Kirinyaga,Urban,"Private, for profit",-0.50233,37.27916,KEN_2018_1035,,,,,
KENYA,KEN_2018,1036,20,Kirinyaga,Urban,"Private, for profit",-0.68342,37.35544,KEN_2018_1036,,,,,
KENYA,KEN_2018,1037,20,Kirinyaga,Rural,"Private, for profit",-0.43558,37.32512,KEN_2018_1037,,,,,
KENYA,KEN_2018,1038,20,Kirinyaga,Rural,"Private, for profit",-0.50387,37.31208,KEN_2018_1038,,,,,
KENYA,KEN_2018,1039,20,Kirinyaga,Rural,"Private, for profit",-0.42889,37.41231,KEN_2018_1039,,,,,
KENYA,KEN_2018,104,36,Bomet,Rural,Public,-0.53414,35.25705,KEN_2018_104,,,,,
KENYA,KEN_2018,1040,20,Kirinyaga,Urban,"Private, for profit",-0.49895,37.27767,KEN_2018_1040,,,,,
KENYA,KEN_2018,1041,20,Kirinyaga,Rural,"Private, for profit",-0.48809,37.22972,KEN_2018_1041,,,,,
KENYA,KEN_2018,1042,20,Kirinyaga,Urban,"Private, for profit",-0.67778,37.3552,KEN_2018_1042,,,,,
KENYA,KEN_2018,1043,20,Kirinyaga,Rural,"Private, for profit",-0.58635,37.29075,KEN_2018_1043,,,,,
KENYA,KEN_2018,1044,20,Kirinyaga,Urban,"Private, for profit",-0.62262,37.25758,KEN_2018_1044,,,,,
KENYA,KEN_2018,1045,20,Kirinyaga,Urban,"Private, for profit",-0.6793,37.35494,KEN_2018_1045,,,,,
KENYA,KEN_2018,1046,20,Kirinyaga,Urban,"Private, for profit",-0.68343,37.35589,KEN_2018_1046,,,,,
KENYA,KEN_2018,1047,20,Kirinyaga,Urban,"Private, for profit",-0.67467,37.35823,KEN_2018_1047,,,,,
KENYA,KEN_2018,1048,20,Kirinyaga,Urban,"Private, for profit",-0.68316,37.35631,KEN_2018_1048,,,,,
KENYA,KEN_2018,1049,20,Kirinyaga,Urban,"Private, for profit",-0.66787,37.20749,KEN_2018_1049,,,,,
KENYA,KEN_2018,105,36,Bomet,Rural,Public,-0.53861,35.22942,KEN_2018_105,,,,,
KENYA,KEN_2018,1050,20,Kirinyaga,Rural,"Private, for profit",-0.48057,37.17773,KEN_2018_1050,,,,,
KENYA,KEN_2018,1051,20,Kirinyaga,Rural,"Private, for profit",-0.56492,37.18767,KEN_2018_1051,,,,,
KENYA,KEN_2018,1052,20,Kirinyaga,Rural,"Private, for profit",-0.55538,37.24204,KEN_2018_1052,,,,,
KENYA,KEN_2018,1053,20,Kirinyaga,Urban,"Private, for profit",-0.4774,37.23494,KEN_2018_1053,,,,,
KENYA,KEN_2018,1054,20,Kirinyaga,Rural,"Private, for profit",-0.61979,37.36641,KEN_2018_1054,,,,,
KENYA,KEN_2018,106,36,Bomet,Rural,Public,-0.64971,35.25773,KEN_2018_106,,,,,
KENYA,KEN_2018,1060,20,Kirinyaga,Urban,"Private, for profit",-0.68414,37.35796,KEN_2018_1060,,,,,
KENYA,KEN_2018,1061,20,Kirinyaga,Rural,"Faith based, non profit",-0.49061,37.35669,KEN_2018_1061,,,,,
KENYA,KEN_2018,1062,20,Kirinyaga,Rural,Public,-0.44769,37.34945,KEN_2018_1062,,,,,
KENYA,KEN_2018,1063,20,Kirinyaga,Rural,Public,-0.42507,37.27243,KEN_2018_1063,,,,,
KENYA,KEN_2018,1064,20,Kirinyaga,Urban,Public,-0.47417,37.23734,KEN_2018_1064,,,,,
KENYA,KEN_2018,1065,20,Kirinyaga,Rural,Public,-0.55434,37.40185,KEN_2018_1065,,,,,
KENYA,KEN_2018,1066,20,Kirinyaga,Urban,Public,-0.72669,37.32282,KEN_2018_1066,,,,,
KENYA,KEN_2018,1067,20,Kirinyaga,Rural,Public,-0.66507,37.32664,KEN_2018_1067,,,,,
KENYA,KEN_2018,1068,20,Kirinyaga,Rural,Public,-0.756,37.37914,KEN_2018_1068,,,,,
KENYA,KEN_2018,1069,20,Kirinyaga,Rural,Public,-0.52671,37.17953,KEN_2018_1069,,,,,
KENYA,KEN_2018,107,36,Bomet,Rural,Public,-0.66506,35.16483,KEN_2018_107,,,,,
KENYA,KEN_2018,1070,20,Kirinyaga,Urban,"Private, for profit",-0.67281,37.20879,KEN_2018_1070,,,,,
KENYA,KEN_2018,1071,20,Kirinyaga,Rural,"Private, for profit",-0.62038,37.3683,KEN_2018_1071,,,,,
KENYA,KEN_2018,1072,20,Kirinyaga,Urban,"Faith based, non profit",5,,KEN_2018_1072,,,,,
KENYA,KEN_2018,1073,20,Kirinyaga,Urban,Public,-0.66648,37.20883,KEN_2018_1073,,,,,
KENYA,KEN_2018,1074,45,Kisii,Rural,Public,-0.72486,34.72075,KEN_2018_1074,,,,,
KENYA,KEN_2018,1075,45,Kisii,Rural,Public,-0.90846,34.69178,KEN_2018_1075,,,,,
KENYA,KEN_2018,1076,45,Kisii,Rural,Public,-0.74328,34.70781,KEN_2018_1076,,,,,
KENYA,KEN_2018,1078,45,Kisii,Rural,"Private, for profit",-0.71868,34.64869,KEN_2018_1078,,,,,
KENYA,KEN_2018,1079,45,Kisii,Rural,"Faith based, non profit",-0.57352,34.77154,KEN_2018_1079,,,,,
KENYA,KEN_2018,108,36,Bomet,Rural,Public,-0.65377,35.19027,KEN_2018_108,,,,,
KENYA,KEN_2018,1080,45,Kisii,Rural,"Faith based, non profit",-0.86978,34.90664,KEN_2018_1080,,,,,
KENYA,KEN_2018,1081,45,Kisii,Rural,"Faith based, non profit",-0.79011,34.94393,KEN_2018_1081,,,,,
KENYA,KEN_2018,1082,45,Kisii,Rural,Public,-0.74162,34.76026,KEN_2018_1082,,,,,
KENYA,KEN_2018,1083,45,Kisii,Rural,Public,-0.79591,34.69464,KEN_2018_1083,,,,,
KENYA,KEN_2018,1084,45,Kisii,Rural,Public,-0.8011,34.78007,KEN_2018_1084,,,,,
KENYA,KEN_2018,1085,45,Kisii,Rural,Public,-0.848,34.77636,KEN_2018_1085,,,,,
KENYA,KEN_2018,1086,45,Kisii,Rural,Public,-0.84893,34.8759,KEN_2018_1086,,,,,
KENYA,KEN_2018,1087,45,Kisii,Rural,Public,-0.7671,34.7646,KEN_2018_1087,,,,,
KENYA,KEN_2018,1088,45,Kisii,Rural,Public,-0.87652,34.70191,KEN_2018_1088,,,,,
KENYA,KEN_2018,1089,45,Kisii,Rural,Public,-0.64607,34.71932,KEN_2018_1089,,,,,
KENYA,KEN_2018,109,36,Bomet,Rural,Public,-0.67223,35.20143,KEN_2018_109,,,,,
KENYA,KEN_2018,1090,45,Kisii,Rural,Public,-0.67642,34.73866,KEN_2018_1090,,,,,
KENYA,KEN_2018,1091,45,Kisii,Rural,Public,-0.63118,34.72101,KEN_2018_1091,,,,,
KENYA,KEN_2018,1092,45,Kisii,Rural,Public,-0.54928,34.78157,KEN_2018_1092,,,,,
KENYA,KEN_2018,1093,45,Kisii,Rural,Public,-0.56893,34.84353,KEN_2018_1093,,,,,
KENYA,KEN_2018,1095,45,Kisii,Urban,Public,-0.67456,34.77641,KEN_2018_1095,,,,,
KENYA,KEN_2018,1096,45,Kisii,Rural,Public,-0.63894,34.8074,KEN_2018_1096,,,,,
KENYA,KEN_2018,1097,45,Kisii,Rural,Public,-0.76002,34.90979,KEN_2018_1097,,,,,
KENYA,KEN_2018,1098,45,Kisii,Rural,Public,-0.78603,34.8786,KEN_2018_1098,,,,,
KENYA,KEN_2018,1099,45,Kisii,Rural,Public,-0.72026,34.80783,KEN_2018_1099,,,,,
KENYA,KEN_2018,11,30,Baringo,Rural,Public,0.40545,35.76938,KEN_2018_11,,,,,
KENYA,KEN_2018,110,36,Bomet,Rural,Public,-0.69836,35.17968,KEN_2018_110,,,,,
KENYA,KEN_2018,1100,45,Kisii,Urban,Public,-0.70072,34.77498,KEN_2018_1100,,,,,
KENYA,KEN_2018,1101,45,Kisii,Rural,Public,-0.69503,34.75345,KEN_2018_1101,,,,,
KENYA,KEN_2018,1102,45,Kisii,Rural,Public,-0.71173,34.74931,KEN_2018_1102,,,,,
KENYA,KEN_2018,1103,45,Kisii,Rural,Public,-0.79878,34.88006,KEN_2018_1103,,,,,
KENYA,KEN_2018,1104,45,Kisii,Rural,Public,-0.8954,34.97424,KEN_2018_1104,,,,,
KENYA,KEN_2018,1105,45,Kisii,Rural,Public,-0.84742,34.97537,KEN_2018_1105,,,,,
KENYA,KEN_2018,1106,45,Kisii,Rural,Public,-0.87583,34.66753,KEN_2018_1106,,,,,
KENYA,KEN_2018,1107,45,Kisii,Rural,Public,-0.86513,34.62978,KEN_2018_1107,,,,,
KENYA,KEN_2018,1108,45,Kisii,Rural,Public,-0.73274,34.65193,KEN_2018_1108,,,,,
KENYA,KEN_2018,111,36,Bomet,Rural,Public,-0.79625,35.12356,KEN_2018_111,,,,,
KENYA,KEN_2018,1110,45,Kisii,Rural,"Private, for profit",-0.88654,34.73669,KEN_2018_1110,,,,,
KENYA,KEN_2018,1111,45,Kisii,Urban,"Private, for profit",-0.6759,34.77144,KEN_2018_1111,,,,,
KENYA,KEN_2018,1112,45,Kisii,Rural,"Private, for profit",-0.83164,34.68619,KEN_2018_1112,,,,,
KENYA,KEN_2018,1113,45,Kisii,Urban,"Private, for profit",-0.67226,34.79078,KEN_2018_1113,,,,,
KENYA,KEN_2018,1114,45,Kisii,Rural,"Private, for profit",-0.91112,34.79689,KEN_2018_1114,,,,,
KENYA,KEN_2018,1115,45,Kisii,Urban,"Private, for profit",-0.67844,34.70764,KEN_2018_1115,,,,,
KENYA,KEN_2018,1116,45,Kisii,Urban,"Private, for profit",-0.66605,34.763,KEN_2018_1116,,,,,
KENYA,KEN_2018,1117,45,Kisii,Rural,"Private, for profit",-0.73523,34.84273,KEN_2018_1117,,,,,
KENYA,KEN_2018,1118,45,Kisii,Rural,Public,-0.74244,34.68547,KEN_2018_1118,,,,,
KENYA,KEN_2018,1119,45,Kisii,Rural,"Private, for profit",-0.89922,,KEN_2018_1119,,,,,
KENYA,KEN_2018,112,36,Bomet,Rural,Public,-0.81112,35.13678,KEN_2018_112,,,,,
KENYA,KEN_2018,1120,45,Kisii,Rural,"Faith based, non profit",-0.91952,34.75641,KEN_2018_1120,,,,,
KENYA,KEN_2018,1121,45,Kisii,Rural,"Faith based, non profit",-0.92241,34.84712,KEN_2018_1121,,,,,
KENYA,KEN_2018,1122,45,Kisii,Rural,"Faith based, non profit",-0.60004,34.7421,KEN_2018_1122,,,,,
KENYA,KEN_2018,1123,45,Kisii,Rural,Public,-0.90189,34.82898,KEN_2018_1123,,,,,
KENYA,KEN_2018,1124,45,Kisii,Rural,Public,-0.86936,34.84968,KEN_2018_1124,,,,,
KENYA,KEN_2018,1125,45,Kisii,Rural,Public,-0.70758,34.71706,KEN_2018_1125,,,,,
KENYA,KEN_2018,1126,45,Kisii,Rural,Public,-0.54502,34.84168,KEN_2018_1126,,,,,
KENYA,KEN_2018,1127,45,Kisii,Rural,Public,-0.60191,34.71263,KEN_2018_1127,,,,,
KENYA,KEN_2018,1128,45,Kisii,Rural,Public,-0.62694,34.78199,KEN_2018_1128,,,,,
KENYA,KEN_2018,1129,45,Kisii,Rural,Public,-0.83361,34.66888,KEN_2018_1129,,,,,
KENYA,KEN_2018,113,36,Bomet,Rural,Public,-0.74461,35.17482,KEN_2018_113,,,,,
KENYA,KEN_2018,1130,45,Kisii,Rural,Public,-0.88933,34.63217,KEN_2018_1130,,,,,
KENYA,KEN_2018,1131,45,Kisii,Rural,"Private, for profit",-0.86333,34.76253,KEN_2018_1131,,,,,
KENYA,KEN_2018,1133,45,Kisii,Urban,"Private, for profit",-0.69083,34.78866,KEN_2018_1133,,,,,
KENYA,KEN_2018,1134,45,Kisii,Urban,"Private, for profit",-0.6712,34.7689,KEN_2018_1134,,,,,
KENYA,KEN_2018,1135,45,Kisii,Rural,Public,-0.85566,34.82878,KEN_2018_1135,,,,,
KENYA,KEN_2018,1136,45,Kisii,Rural,Public,-0.78043,34.85402,KEN_2018_1136,,,,,
KENYA,KEN_2018,1137,45,Kisii,Rural,Public,-0.8082,34.9054,KEN_2018_1137,,,,,
KENYA,KEN_2018,1138,45,Kisii,Rural,Public,-0.90482,34.65999,KEN_2018_1138,,,,,
KENYA,KEN_2018,1139,45,Kisii,Urban,"Private, for profit",-0.66769,34.76997,KEN_2018_1139,,,,,
KENYA,KEN_2018,114,36,Bomet,Rural,Public,-0.91395,35.09409,KEN_2018_114,,,,,
KENYA,KEN_2018,1140,45,Kisii,Urban,"Private, for profit",-0.66426,34.75458,KEN_2018_1140,,,,,
KENYA,KEN_2018,1141,45,Kisii,Urban,"Faith based, non profit",-0.68029,34.76666,KEN_2018_1141,,,,,
KENYA,KEN_2018,1142,45,Kisii,Urban,Public,-0.79672,34.72349,KEN_2018_1142,,,,,
KENYA,KEN_2018,1143,45,Kisii,Rural,Public,-0.81018,34.62895,KEN_2018_1143,,,,,
KENYA,KEN_2018,1144,42,Kisumu,Rural,"Faith based, non profit",-0.06926,34.51267,KEN_2018_1144,,,,,
KENYA,KEN_2018,1145,42,Kisumu,Rural,Public,-0.23386,34.81637,KEN_2018_1145,,,,,
KENYA,KEN_2018,1146,42,Kisumu,Urban,"Private, for profit",-0.12011,34.76117,KEN_2018_1146,,,,,
KENYA,KEN_2018,1148,42,Kisumu,Urban,"Faith based, non profit",-0.11832,34.7587,KEN_2018_1148,,,,,
KENYA,KEN_2018,1149,42,Kisumu,Urban,"Faith based, non profit",-0.05573,34.80124,KEN_2018_1149,,,,,
KENYA,KEN_2018,115,36,Bomet,Rural,Public,-0.83454,35.14007,KEN_2018_115,,,,,
KENYA,KEN_2018,1150,42,Kisumu,Urban,Public,-0.10298,34.76048,KEN_2018_1150,,,,,
KENYA,KEN_2018,1151,42,Kisumu,Rural,Public,0.00301,34.80516,KEN_2018_1151,,,,,
KENYA,KEN_2018,1152,42,Kisumu,Rural,Public,-0.11742,34.80906,KEN_2018_1152,,,,,
KENYA,KEN_2018,1153,42,Kisumu,Rural,Public,-0.09317,34.8384,KEN_2018_1153,,,,,
KENYA,KEN_2018,1154,42,Kisumu,Urban,Public,-0.08158,34.72872,KEN_2018_1154,,,,,
KENYA,KEN_2018,1155,42,Kisumu,Urban,Public,-0.07469,34.6988,KEN_2018_1155,,,,,
KENYA,KEN_2018,1156,42,Kisumu,Rural,Public,-0.00096,34.61115,KEN_2018_1156,,,,,
KENYA,KEN_2018,1157,42,Kisumu,Rural,Public,-0.0471,34.67132,KEN_2018_1157,,,,,
KENYA,KEN_2018,1158,42,Kisumu,Rural,Public,-0.02998,35.12336,KEN_2018_1158,,,,,
KENYA,KEN_2018,1159,42,Kisumu,Rural,Public,-0.03915,35.18212,KEN_2018_1159,,,,,
KENYA,KEN_2018,116,36,Bomet,Rural,Public,-0.89938,35.08067,KEN_2018_116,,,,,
KENYA,KEN_2018,1160,42,Kisumu,Rural,Public,-0.09886,35.04086,KEN_2018_1160,,,,,
KENYA,KEN_2018,1161,42,Kisumu,Rural,Public,-0.14082,35.12592,KEN_2018_1161,,,,,
KENYA,KEN_2018,1162,42,Kisumu,Rural,Public,-0.13429,35.21707,KEN_2018_1162,,,,,
KENYA,KEN_2018,1163,42,Kisumu,Rural,Public,-0.21453,35.30713,KEN_2018_1163,,,,,
KENYA,KEN_2018,1164,42,,,Public,,,KEN_2018_1164,,,,,
KENYA,KEN_2018,1165,42,Kisumu,Rural,Public,-0.32508,35.0054,KEN_2018_1165,,,,,
KENYA,KEN_2018,1166,42,Kisumu,Rural,Public,-0.31469,34.88649,KEN_2018_1166,,,,,
KENYA,KEN_2018,1167,42,Kisumu,Rural,Public,-0.29252,35.01384,KEN_2018_1167,,,,,
KENYA,KEN_2018,1168,42,Kisumu,Rural,Public,-0.31606,34.80503,KEN_2018_1168,,,,,
KENYA,KEN_2018,1169,42,Kisumu,Rural,Public,-0.21855,34.89987,KEN_2018_1169,,,,,
KENYA,KEN_2018,117,36,Bomet,Rural,Public,-0.77074,35.10794,KEN_2018_117,,,,,
KENYA,KEN_2018,1170,42,Kisumu,Rural,Public,-0.26749,35.04458,KEN_2018_1170,,,,,
KENYA,KEN_2018,1171,42,Kisumu,Rural,Public,-0.24866,35.02014,KEN_2018_1171,,,,,
KENYA,KEN_2018,1172,42,Kisumu,Rural,Public,-0.16999,34.8484,KEN_2018_1172,,,,,
KENYA,KEN_2018,1173,42,Kisumu,Rural,Public,-0.10076,34.57663,KEN_2018_1173,,,,,
KENYA,KEN_2018,1174,42,Kisumu,Rural,Public,-0.11892,34.57269,KEN_2018_1174,,,,,
KENYA,KEN_2018,1175,42,Kisumu,Rural,Public,-0.07295,34.45262,KEN_2018_1175,,,,,
KENYA,KEN_2018,1176,42,Kisumu,Rural,Public,-0.18259,34.50437,KEN_2018_1176,,,,,
KENYA,KEN_2018,1177,42,Kisumu,Rural,Public,-0.14486,34.48143,KEN_2018_1177,,,,,
KENYA,KEN_2018,1178,42,Kisumu,Rural,Public,-0.18279,34.51845,KEN_2018_1178,,,,,
KENYA,KEN_2018,1179,42,Kisumu,Urban,"NGO, non profit",-0.08263,34.76735,KEN_2018_1179,,,,,
KENYA,KEN_2018,118,36,Bomet,Rural,Public,-0.72593,35.0591,KEN_2018_118,,,,,
KENYA,KEN_2018,1181,42,Kisumu,Urban,"Private, for profit",-0.11636,34.7871,KEN_2018_1181,,,,,
KENYA,KEN_2018,1182,42,Kisumu,Urban,"Private, for profit",-0.09289,34.7803,KEN_2018_1182,,,,,
KENYA,KEN_2018,1184,42,Kisumu,Rural,"Private, for profit",-0.33728,34.98014,KEN_2018_1184,,,,,
KENYA,KEN_2018,1185,42,Kisumu,Urban,"Private, for profit",-0.08307,34.77444,KEN_2018_1185,,,,,
KENYA,KEN_2018,1186,42,Kisumu,Rural,"Private, for profit",-0.18282,34.94187,KEN_2018_1186,,,,,
KENYA,KEN_2018,1187,42,Kisumu,Urban,"Private, for profit",-0.10129,34.76132,KEN_2018_1187,,,,,
KENYA,KEN_2018,1188,42,Kisumu,Urban,"Private, for profit",-0.10135,34.7531,KEN_2018_1188,,,,,
KENYA,KEN_2018,1189,42,Kisumu,Urban,"Private, for profit",-0.11857,34.76121,KEN_2018_1189,,,,,
KENYA,KEN_2018,119,36,Bomet,Rural,Public,-0.68971,35.07643,KEN_2018_119,,,,,
KENYA,KEN_2018,1190,42,Kisumu,Urban,"Private, for profit",-0.06066,34.77912,KEN_2018_1190,,,,,
KENYA,KEN_2018,1191,42,Kisumu,Urban,"Private, for profit",-0.08817,34.77537,KEN_2018_1191,,,,,
KENYA,KEN_2018,1192,42,Kisumu,Rural,Public,-0.00156,34.61081,KEN_2018_1192,,,,,
KENYA,KEN_2018,1193,42,Kisumu,Rural,"Private, for profit",-0.15174,35.18495,KEN_2018_1193,,,,,
KENYA,KEN_2018,1194,42,Kisumu,Rural,"Faith based, non profit",-0.34692,34.88827,KEN_2018_1194,,,,,
KENYA,KEN_2018,1195,42,Kisumu,Urban,Public,-0.10233,34.7831,KEN_2018_1195,,,,,
KENYA,KEN_2018,1196,42,Kisumu,Rural,Public,-0.11502,34.60984,KEN_2018_1196,,,,,
KENYA,KEN_2018,1197,42,Kisumu,Urban,Public,-0.38656,35.01042,KEN_2018_1197,,,,,
KENYA,KEN_2018,1198,42,Kisumu,Rural,Public,-0.33635,34.85077,KEN_2018_1198,,,,,
KENYA,KEN_2018,1199,42,Kisumu,Rural,Public,-0.21314,34.93497,KEN_2018_1199,,,,,
KENYA,KEN_2018,12,30,Baringo,Rural,Public,0.37616,35.71864,KEN_2018_12,,,,,
KENYA,KEN_2018,120,36,Bomet,Rural,"Private, for profit",-0.74635,35.20786,KEN_2018_120,,,,,
KENYA,KEN_2018,1200,42,Kisumu,Rural,Public,-0.157,34.86615,KEN_2018_1200,,,,,
KENYA,KEN_2018,1201,42,Kisumu,Rural,Public,-0.04516,34.53934,KEN_2018_1201,,,,,
KENYA,KEN_2018,1202,42,Kisumu,Rural,"NGO, non profit",-0.23992,34.8905,KEN_2018_1202,,,,,
KENYA,KEN_2018,1203,42,Kisumu,Rural,"Faith based, non profit",-0.33147,34.84579,KEN_2018_1203,,,,,
KENYA,KEN_2018,1204,42,Kisumu,Rural,"Private, for profit",-0.15498,35.20003,KEN_2018_1204,,,,,
KENYA,KEN_2018,1205,42,Kisumu,Urban,"Private, for profit",-0.12405,34.75821,KEN_2018_1205,,,,,
KENYA,KEN_2018,1206,42,Kisumu,Urban,Public,-0.09946,34.76638,KEN_2018_1206,,,,,
KENYA,KEN_2018,1207,42,Kisumu,Rural,Public,-0.14167,34.46945,KEN_2018_1207,,,,,
KENYA,KEN_2018,1208,42,Kisumu,Urban,"Private, for profit",-0.03622,34.75515,KEN_2018_1208,,,,,
KENYA,KEN_2018,1209,42,Kisumu,Urban,"Faith based, non profit",-0.04504,34.77069,KEN_2018_1209,,,,,
KENYA,KEN_2018,121,36,Bomet,Rural,"Private, for profit",-0.43557,35.2564,KEN_2018_121,,,,,
KENYA,KEN_2018,1210,42,Kisumu,Rural,Public,-0.03511,34.7126,KEN_2018_1210,,,,,
KENYA,KEN_2018,1211,42,Kisumu,Rural,Public,-0.15342,34.82966,KEN_2018_1211,,,,,
KENYA,KEN_2018,1212,42,Kisumu,Urban,"Private, for profit",-0.10597,34.76184,KEN_2018_1212,,,,,
KENYA,KEN_2018,1213,42,Kisumu,Urban,"Private, for profit",-0.09128,34.76779,KEN_2018_1213,,,,,
KENYA,KEN_2018,1214,42,Kisumu,Rural,Public,-0.09854,35.00522,KEN_2018_1214,,,,,
KENYA,KEN_2018,1215,42,Kisumu,Rural,Public,-0.10366,34.51759,KEN_2018_1215,,,,,
KENYA,KEN_2018,1217,15,Kitui,Rural,Public,-1.21751,37.93886,KEN_2018_1217,,,,,
KENYA,KEN_2018,1218,15,Kitui,Urban,"Private, for profit",-0.9439,38.06274,KEN_2018_1218,,,,,
KENYA,KEN_2018,1219,15,Kitui,Rural,Public,-1.30893,37.99248,KEN_2018_1219,,,,,
KENYA,KEN_2018,122,36,Bomet,Rural,"Private, for profit",-0.51134,35.27549,KEN_2018_122,,,,,
KENYA,KEN_2018,1220,15,Kitui,Rural,"Faith based, non profit",-0.80271,38.31147,KEN_2018_1220,,,,,
KENYA,KEN_2018,1221,15,Kitui,Urban,"Faith based, non profit",-1.36605,38.00956,KEN_2018_1221,,,,,
KENYA,KEN_2018,1222,15,Kitui,Rural,"Faith based, non profit",-1.02913,37.88382,KEN_2018_1222,,,,,
KENYA,KEN_2018,1223,15,Kitui,Rural,Public,-1.84204,38.02391,KEN_2018_1223,,,,,
KENYA,KEN_2018,1224,15,Kitui,Rural,Public,-1.33302,38.04077,KEN_2018_1224,,,,,
